80	Was ist das?	468754	Što je ovo?
116	Du bist so ungeduldig mit mir.	1048036	Tako si nestrpljiv sa mnom.
286	Niemand versteht mich.	655428	Nitko me ne razumije.
337	In den 1950ern sagte man den Finnen nach, eine der ungesündesten Ernährungsweisen der Welt zu haben.	1053878	1950ih se govorilo da Finci spadaju među narode s najnezdravijim navikama hranjenja.
452	Ich heiße Jack.	466255	Zovem se Jack.
751	Unsicher, welchen Freier sie heiraten wollte, schwankte die Prinzessin und nannte einmal den einen, einmal den anderen.	1051033	Nesigurna za kojeg prosioca bi se udala, kolebala se princeza sad za jednog, sad za drugog.
852	Es ist nie zu spät zum Lernen.	937043	Nikada nije kasno za učenje.
927	Eins, zwei, drei, vier, fünf, sechs, sieben, acht, neun, zehn.	534049	Jedan, dva, tri, četiri, pet, šest, sedam, osam, devet, deset.
89330	Ich kann meinen Augen nicht trauen.	1101199	Ne mogu vjerovati mojim očima.
139106	Es ist schon elf Uhr. Du solltest längst im Bett sein.	1040985	Već je jedanaest sati. Odavno si već trebao biti u krevetu.
330610	Bist du Student?	478636	Jesi li ti student?
333450	Das ist der Computer, auf dem er seine Artikel schreibt.	2156916	To je računalo pomoću kojeg on piše svoje članke.
340904	Folge einfach deinem Herzen.	936690	Jednostavno slijedi svoje srce.
341504	Meine Mutter liebt Musik.	2424527	Moja majka voli glazbu.
341515	Wir sind Bruder und Schwester.	1333041	Mi smo brat i sestra.
342254	Sie bestand darauf, mir zu helfen.	945143	Inzistirala je da mi pomogne.
342799	Ich schulde ihm 1000 Dollar.	997646	Dugujem mu 1000 dolara.
343075	Ich würde gerne nach Frankreich gehen.	1051639	Rado bih išao u Francusku.
343516	Es ist wahrscheinlich, dass sie kommt.	957888	Vjerojatno će ona doći.
344380	Rauchen ist hier nicht gestattet.	2156913	Ovdje nije dopušteno pušiti.
344380	Rauchen ist hier nicht gestattet.	2156915	Pušenje je ovdje zabranjeno.
344643	Heute ist Montag.	1047917	Danas je ponedjeljak.
344893	Er hat sein eigenes Haus angezündet.	2213789	Zapalio je svoju vlastitu kuću.
349922	Als Kind habe ich Baseball lieber als Fußball gespielt.	1051379	Kao dijete sam radije igrao bejzbol nego nogomet.
